Sample,Species,Host,Country
SRX2995989,WTD-Michigan,RESERVOIR,USA
SRX4901490,WTD-Michigan,RESERVOIR,USA
SRX2995990,WTD-Michigan,RESERVOIR,USA
SRX4901491,WTD-Michigan,RESERVOIR,USA
SRX4901492,WTD-Michigan,RESERVOIR,USA
SRX2995987,WTD-Michigan,RESERVOIR,USA
SRX4901493,WTD-Michigan,RESERVOIR,USA
SRX4901494,WTD-Michigan,RESERVOIR,USA
SRX4901495,WTD-Michigan,RESERVOIR,USA
SRX2995988,WTD-Michigan,RESERVOIR,USA
SRX2995993,WTD-Michigan,RESERVOIR,USA
SRX4901496,WTD-Michigan,RESERVOIR,USA
SRX2995994,WTD-Michigan,RESERVOIR,USA
SRX4901497,WTD-Michigan,RESERVOIR,USA
SRX2995991,WTD-Michigan,RESERVOIR,USA
SRX4901486,WTD-Michigan,RESERVOIR,USA
SRX4901487,WTD-Michigan,RESERVOIR,USA
SRX4901516,BOVINE-Michigan,RESERVOIR,USA
SRX2995992,ELK-Michigan,NON-RESERVOIR,USA
SRX2995995,WTD-Michigan,RESERVOIR,USA
SRX4901517,BOVINE-Michigan,RESERVOIR,USA
SRX4901514,WTD-Michigan,RESERVOIR,USA
SRX4901515,WTD-Michigan,RESERVOIR,USA
SRX4901520,WTD-Michigan,RESERVOIR,USA
SRX2995996,WTD-Michigan,RESERVOIR,USA
SRX2995997,WTD-Michigan,RESERVOIR,USA
SRX4901521,WTD-Michigan,RESERVOIR,USA
SRX4901518,WTD-Michigan,RESERVOIR,USA
SRX2995998,WTD-Michigan,RESERVOIR,USA
SRX2995999,WTD-Michigan,RESERVOIR,USA
SRX2996000,WTD-Michigan,RESERVOIR,USA
SRX4901519,WTD-Michigan,RESERVOIR,USA
SRX4901524,WTD-Michigan,RESERVOIR,USA
SRX2996001,ELK-Michigan,NON-RESERVOIR,USA
SRX4901525,WTD-Michigan,RESERVOIR,USA
SRX4901551,WTD-Michigan,RESERVOIR,USA
SRX2996002,WTD-Michigan,RESERVOIR,USA
SRX4901550,WTD-Michigan,RESERVOIR,USA
SRX2996003,WTD-Michigan,RESERVOIR,USA
SRX2996004,WTD-Michigan,RESERVOIR,USA
SRX2996005,WTD-Michigan,RESERVOIR,USA
SRX2996006,WTD-Michigan,RESERVOIR,USA
SRX2995969,WTD-Michigan,RESERVOIR,USA
SRX2995968,WTD-Michigan,RESERVOIR,USA
SRX2995971,ELK-Michigan,NON-RESERVOIR,USA
SRX2995970,ELK-Michigan,NON-RESERVOIR,USA
SRX2995973,WTD-Michigan,RESERVOIR,USA
SRX2995972,WTD-Michigan,RESERVOIR,USA
SRX4901549,WTD-Michigan,RESERVOIR,USA
SRX4901548,WTD-Michigan,RESERVOIR,USA
SRX2995975,WTD-Michigan,RESERVOIR,USA
SRX2995974,WTD-Michigan,RESERVOIR,USA
SRX2995966,WTD-Michigan,RESERVOIR,USA
SRX4901547,WTD-Michigan,RESERVOIR,USA
SRX2995965,BOVINE-Michigan,RESERVOIR,USA
SRX2996007,BOVINE-Michigan,RESERVOIR,USA
SRX2996008,BOVINE-Michigan,RESERVOIR,USA
SRX2996013,BOVINE-Michigan,RESERVOIR,USA
SRX4901546,BOVINE-Michigan,RESERVOIR,USA
SRX4901545,WTD-Michigan,RESERVOIR,USA
