Sample,Species,Host,Country,Domesticated,
SRX2526900,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526901,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526902,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526903,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526904,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526905,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526906,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526907,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526908,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526909,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526910,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526911,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526912,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526913,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526914,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526915,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526916,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526917,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526918,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526919,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526920,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526921,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526922,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526923,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526924,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526925,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526926,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526927,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526928,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526929,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526930,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526931,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526932,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526933,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526934,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526935,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526936,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526937,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526938,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526939,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526940,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526941,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526942,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526943,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526944,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526945,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526946,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526947,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526948,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526949,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526950,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526951,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526952,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526953,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526954,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526955,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526956,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526957,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526958,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526959,PORCINE-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,DOMESTICATE
SRX2526960,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526961,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526962,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526963,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526964,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526965,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526966,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526967,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526968,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526969,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526970,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526971,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526972,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526973,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526974,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526975,CERVINE-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526976,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526977,PORCINE-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,DOMESTICATE
SRX2526978,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526980,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
