"","region","gene_name"
"1","LT708304.1","vapc25"
"2","LT708304.1","PE_PGRS3b"
"3","LT708304.1","PE_PGRS3a"
"4","LT708304.1","PE_PGRS3a"
"5","LT708304.1","PE_PGRS3a"
"6","LT708304.1","PE_PGRS3a"
"7","LT708304.1","PE_PGRS3a"
"8","LT708304.1","PE_PGRS3a"
"9","LT708304.1","PE_PGRS3a"
"10","LT708304.1","PE_PGRS3a"
"11","LT708304.1","PE_PGRS3a"
"12","LT708304.1","PE_PGRS3a"
"13","LT708304.1","PE_PGRS3a"
"14","LT708304.1","PE_PGRS3a"
"15","LT708304.1","PE_PGRS3a"
"16","LT708304.1","PE_PGRS3a"
"17","LT708304.1","PE_PGRS3a"
"18","LT708304.1","PE_PGRS3a"
"19","LT708304.1","PE_PGRS3a"
"20","LT708304.1","PE_PGRS3a"
"21","LT708304.1","PE_PGRS3a"
"22","LT708304.1","PE_PGRS3a"
"23","LT708304.1","PE_PGRS3a"
"24","LT708304.1","PE_PGRS3a"
"25","LT708304.1","PE_PGRS3a"
"26","LT708304.1","PE_PGRS3a"
"27","LT708304.1","PE_PGRS3a"
"28","LT708304.1","PE_PGRS3a"
"29","LT708304.1","PE_PGRS3a"
"30","LT708304.1","PE_PGRS3a"
"31","LT708304.1","PE_PGRS3a"
"32","LT708304.1","PE_PGRS3a"
"33","LT708304.1","PE_PGRS3a"
"34","LT708304.1","PE_PGRS3a"
"35","LT708304.1","PE_PGRS3"
"36","LT708304.1","PE_PGRS3"
"37","LT708304.1","PE_PGRS3"
"38","LT708304.1","PE_PGRS3"
"39","LT708304.1","PE_PGRS4"
"40","LT708304.1","PE_PGRS4"
"41","LT708304.1","BQ2027_MB0403"
"42","LT708304.1","PE_PGRS10"
"43","LT708304.1","PE_PGRS14"
"44","LT708304.1","rpfA"
"45","LT708304.1","rpfA"
"46","LT708304.1","rpfA"
"47","LT708304.1","rpfA"
"48","LT708304.1","rpfA"
"49","LT708304.1","rpfA"
"50","LT708304.1","rpfA"
"51","LT708304.1","rpfA"
"52","LT708304.1","rpfA"
"53","LT708304.1","rpfA"
"54","LT708304.1","rpfA"
"55","LT708304.1","rpfA"
"56","LT708304.1","rpfA"
"57","LT708304.1","rpfA"
"58","LT708304.1","rpfA"
"59","LT708304.1","rpfA"
"60","LT708304.1","rpfA"
"61","LT708304.1","rpfA"
"62","LT708304.1","rpfA"
"63","LT708304.1","rpfA"
"64","LT708304.1","rpfA"
"65","LT708304.1","rpfA"
"66","LT708304.1","rpfA"
"67","LT708304.1","rpfA"
"68","LT708304.1","rpfA"
"69","LT708304.1","rpfA"
"70","LT708304.1","rpfA"
"71","LT708304.1","rpfA"
"72","LT708304.1","rpfA"
"73","LT708304.1","rpfA"
"74","LT708304.1","rpfA"
"75","LT708304.1","rpfA"
"76","LT708304.1","rpfA"
"77","LT708304.1","rpfA"
"78","LT708304.1","rpfA"
"79","LT708304.1","rpfA"
"80","LT708304.1","rpfA"
"81","LT708304.1","rpfA"
